attribute;code;sort_order;label-fr_FR;label-en_US;label-de_DE;label-ru_RU
attr_2;attr_opt_attr_20;2;"Perferendis dicta.";"Recusandae saepe rerum.";"Est dicta.";"Voluptatem enim sint."
attr_2;attr_opt_attr_21;3;"Beatae enim blanditiis.";"Quas iste ipsum.";"Possimus quia ea.";"Nam asperiores."
attr_2;attr_opt_attr_22;9;"Recusandae dolor.";"Sit quis voluptatem.";"Facilis aperiam.";"Ipsam reiciendis sit."
attr_2;attr_opt_attr_23;1;"Qui placeat.";"Sit sunt libero.";"Qui repudiandae.";"Non est exercitationem."
attr_2;attr_opt_attr_24;6;"Mollitia eligendi.";"Blanditiis id aut.";"Quae rerum.";"Earum numquam."
attr_2;attr_opt_attr_25;8;"Aliquam est.";"Earum illum.";"Et eaque voluptate.";"Eligendi inventore ipsum."
attr_2;attr_opt_attr_26;3;"Et eveniet.";"Qui voluptatum.";"Consequatur necessitatibus quo.";"Dolores rerum incidunt."
attr_2;attr_opt_attr_27;7;"Impedit qui.";"Sapiente libero.";"Rerum similique eaque.";"Qui quo."
attr_2;attr_opt_attr_28;10;"Dicta quisquam est.";"Libero voluptas ut.";"Voluptatibus rerum.";"Perferendis mollitia autem."
attr_2;attr_opt_attr_29;9;"Voluptatem ex.";"Modi tenetur delectus.";"Facilis tempore.";"Iusto est."
attr_7;attr_opt_attr_70;10;"Sapiente omnis.";"Earum voluptatem rerum.";"Quae vero beatae.";"Beatae omnis."
attr_7;attr_opt_attr_71;6;"Molestias voluptatem quia.";"Qui reprehenderit.";"Incidunt in.";"Saepe rem neque."
attr_7;attr_opt_attr_72;8;"Voluptatem assumenda.";"Voluptatum impedit.";"Officia similique.";"Qui non."
attr_7;attr_opt_attr_73;5;"Labore qui.";"Delectus aut eum.";"Quia deserunt quibusdam.";"Sapiente repudiandae."
attr_7;attr_opt_attr_74;10;"Doloremque in ut.";"Aut rerum.";"Placeat ut harum.";"Est qui ut."
attr_7;attr_opt_attr_75;9;"Est esse est.";"Maxime ad id.";"In similique nesciunt.";"Ex aut."
attr_7;attr_opt_attr_76;4;"Veniam ea.";"Numquam fugit.";"Id dignissimos.";"Recusandae error non."
attr_7;attr_opt_attr_77;3;"Excepturi illum aut.";"Esse perspiciatis sit.";"Et est earum.";"Velit dignissimos dolor."
attr_7;attr_opt_attr_78;7;"Recusandae ut voluptatem.";"Facere magni aut.";"Atque illum eveniet.";"Soluta est numquam."
attr_7;attr_opt_attr_79;3;"Consequatur iure ad.";"Assumenda et quibusdam.";"Voluptatem repellat.";"Ea nemo."
attr_8;attr_opt_attr_80;6;"Atque tempore adipisci.";"Et neque.";"Nostrum blanditiis.";"Ipsa soluta veniam."
attr_8;attr_opt_attr_81;9;"Aperiam praesentium.";"Voluptatem doloremque.";"Officiis similique.";"Modi in."
attr_8;attr_opt_attr_82;10;"Saepe id rerum.";"Quia error.";"Quidem distinctio.";"Facilis repellat qui."
attr_8;attr_opt_attr_83;10;"Alias dolore.";"Autem quidem.";"Eaque culpa.";"Tempore cumque."
attr_8;attr_opt_attr_84;2;"Et occaecati.";"Accusamus explicabo atque.";"Eum officiis.";"Ut inventore quod."
attr_8;attr_opt_attr_85;10;"Quo aut.";"Qui nobis necessitatibus.";"Ut quis.";"Laborum voluptate error."
attr_8;attr_opt_attr_86;6;"Consectetur adipisci.";"Aut reprehenderit maxime.";"Ab sint.";"Non molestiae."
attr_8;attr_opt_attr_87;4;"Quod aperiam.";"Ullam aliquid quos.";"Et voluptatum.";"Tempore nihil."
attr_8;attr_opt_attr_88;6;"Ut perspiciatis.";"Quod neque.";"Magnam et eius.";"Modi recusandae."
attr_8;attr_opt_attr_89;5;"Soluta reiciendis.";"Dolores sed.";"Distinctio esse nobis.";"Deserunt eos."
attr_9;attr_opt_attr_90;3;"Excepturi voluptatem est.";"Et et.";"Blanditiis pariatur.";"Ratione eum."
attr_9;attr_opt_attr_91;8;"Quasi eum.";"Quas deleniti enim.";"Aut et.";"Quia et quis."
attr_9;attr_opt_attr_92;2;"Nisi reiciendis.";"Voluptas minus.";"Dolorem fugit eligendi.";"Quidem at."
attr_9;attr_opt_attr_93;4;"Deleniti aut.";"Mollitia animi veniam.";"Sunt voluptas.";"Qui doloribus eius."
attr_9;attr_opt_attr_94;2;"Nesciunt nihil dolorem.";"Optio pariatur.";"Totam enim error.";"Est non voluptatem."
